"Fx"	"z"	"Lx"
7.11742704186616e-14	0.045	3.38857710013045e+41
6.98553142768921e-14	0.045	3.32578215257726e+41
8.71844624970913e-14	0.045	4.15081561591062e+41
7.20237104846864e-14	0.045	3.42901858465475e+41
1.00855235139661e-13	0.045	4.80167535560606e+41
9.67069597809932e-14	0.045	4.60417770929744e+41
9.70960420748131e-14	0.045	4.62270175377516e+41
1.02626687227586e-13	0.045	4.88601344497193e+41
7.48995420355448e-14	0.045	3.56593571608089e+41
7.18922471937029e-14	0.045	3.42275967262497e+41
7.62237728043982e-14	0.045	3.62898178641263e+41
1.05548137132062e-13	0.045	5.02510244704044e+41
8.40224945770576e-14	0.045	4.00027565221099e+41
8.48129635613664e-14	0.045	4.0379095483203e+41
8.29987042517638e-14	0.045	3.95153342512219e+41
1.21730100263085e-13	0.045	5.79551891043928e+41
7.23567852590371e-14	0.045	3.44487613467047e+41
7.36059235675455e-14	0.045	3.50434708452649e+41
8.6517018725378e-14	0.045	4.11903889846556e+41
1.35568019305541e-13	0.045	6.45433641998177e+41
1.20222662700173e-13	0.045	5.72375044164414e+41
1.04415501092588e-13	0.045	4.9711781212473e+41
1.08251983812697e-13	0.045	5.15383145108036e+41
9.72061433719229e-14	0.045	4.62794363025505e+41
9.63179714679858e-14	0.045	4.58565813920671e+41
1.10185732055336e-13	0.045	5.24589639215924e+41
1.20819471780875e-13	0.045	5.75216427113789e+41
9.97225246466194e-14	0.045	4.74774748510985e+41
7.92117650045292e-14	0.045	3.77123883920958e+41
1.21781045355517e-13	0.045	5.79794438487781e+41
8.67355267346568e-14	0.045	4.12944197294854e+41
1.3073402278512e-13	0.045	6.22419187737029e+41
1.40040936656508e-13	0.045	6.66729013509691e+41
1.32265577039086e-13	0.045	6.2971085316903e+41
9.7209275331693e-14	0.045	4.62809274154334e+41
1.27613164033398e-13	0.045	6.07560910389584e+41
7.74842144580654e-14	0.045	3.68899088378087e+41
9.06371108913468e-14	0.045	4.31519475481513e+41
1.18841445145795e-13	0.045	5.6579912544051e+41
1.91274592870401e-13	0.045	9.10650297396618e+41
1.66765062327323e-13	0.045	7.93961452615083e+41
1.19740079190162e-13	0.045	5.70077484356205e+41
1.22881532357542e-13	0.045	5.85033810851022e+41
1.59511690124375e-13	0.045	7.59428452415635e+41
1.21107872187009e-13	0.045	5.76589489325941e+41
1.78832896497463e-13	0.045	8.51415903888796e+41
1.32882528823968e-13	0.045	6.32648134686407e+41
1.30025112363742e-13	0.045	6.19044095016308e+41
1.82312421680254e-13	0.045	8.67981777039835e+41
1.61087756354578e-13	0.045	7.66932037495665e+41
1.72613800703637e-13	0.045	8.21807050202601e+41
1.81199955514785e-13	0.045	8.62685372382922e+41
2.19326015732557e-13	0.045	1.04420194264377e+42
1.7377767058384e-13	0.045	8.27348185784867e+41
1.89905249176192e-13	0.045	9.0413090962192e+41
2.06236882508037e-13	0.045	9.8188512949729e+41
1.53046129746711e-13	0.045	7.28646191204684e+41
1.10094591467799e-13	0.045	5.24155722709293e+41
1.71933524076538e-13	0.045	8.1856828177297e+41
2.12608995230613e-13	0.045	1.01222249034997e+42
1.18665907171131e-13	0.045	5.64963396520985e+41
1.82638810221863e-13	0.045	8.69535699168342e+41
1.46946620714556e-13	0.045	6.99606685064582e+41
1.90758256040715e-13	0.045	9.08192039452092e+41
2.68054095371236e-13	0.045	1.27619428176534e+42
1.72037836162574e-13	0.045	8.19064907230354e+41
1.55531570698182e-13	0.045	7.40479271111704e+41
1.65604574426484e-13	0.045	7.88436418494423e+41
2.04237001233552e-13	0.045	9.72363778804355e+41
1.75007056518149e-13	0.045	8.332012405471e+41
3.04302317354188e-13	0.045	1.44877054311563e+42
1.71775696352815e-13	0.045	8.17816870613814e+41
