z Lx kcorr
0.1 3.13833422523646e+41 0.954
0.1 3.58314634825487e+41 0.954
0.1 4.09100396311194e+41 0.9625
0.1 4.67084282905416e+41 0.9625
0.1 5.33286521608031e+41 0.9671
0.1 6.08871941397313e+41 0.9671
0.1 6.95170468406135e+41 0.9718
0.1 7.93700525984097e+41 0.9718
0.1 9.06195751369867e+41 0.9743
0.1 1.03463549905376e+42 0.9743
0.1 1.18127966753764e+42 0.9743
0.1 1.34870846226912e+42 0.9772
0.1 1.53986779437934e+42 0.9772
0.1 1.75812111401549e+42 0.9798
0.1 2.00730859027603e+42 0.9798
0.1 2.29181467902013e+42 0.9829
0.1 2.61664526740747e+42 0.9829
0.1 2.98751575252729e+42 0.9829
0.1 3.41095160386101e+42 0.9868
0.1 3.89440317897556e+42 0.9868
0.1 4.44637681263124e+42 0.9915
0.1 5.07658448581727e+42 0.9915
0.1 5.79611470814359e+42 0.9967
0.1 6.61762762026614e+42 0.9967
0.1 7.55557774917379e+42 1.003
0.1 8.62646833571973e+42 1.003
0.1 9.84914170929053e+42 1.003
0.1 1.12451108187593e+43 1.008
0.1 1.28389377530122e+43 1.008
0.1 1.4658665911121e+43 1.014
0.1 1.67363134261978e+43 1.014
0.1 1.91084365247335e+43 1.018
0.1 2.18167727337263e+43 1.018
0.1 2.49089752528407e+43 1.018
0.1 2.84394514128792e+43 1.024
0.1 3.24703199732501e+43 1.024
0.1 3.70725041020933e+43 1.028
0.1 4.23269792700523e+43 1.028
0.1 4.83261980144005e+43 1.033
0.1 5.5175716642256e+43 1.033
0.1 6.2996052494744e+43 1.033
0.1 7.19248044506816e+43 1.034
0.1 8.21190739800786e+43 1.034
0.1 9.37582293458945e+43 1.038
0.1 1.0704706159022e+44 1.038
0.1 1.22219387834487e+44 1.042
0.1 1.39542165293784e+44 1.042
0.1 1.59320188391447e+44 1.046
0.1 1.81901451619634e+44 1.046
0.1 2.0768327250551e+44 1.046
0.1 2.37119282416671e+44 1.049
0.1 2.70727408209078e+44 1.049
0.1 3.09098985154704e+44 1.052
0.1 3.5290916149089e+44 1.052
0.1 4.02928777659586e+44 1.054
0.1 4.60037929251778e+44 1.054
0.1 5.25241452297211e+44 1.054
0.1 5.99686603363297e+44 1.057
0.1 6.84683245544589e+44 1.057
0.1 7.81726895515578e+44 1.059
0.1 8.92525037159882e+44 1.059
0.1 1.0190271647643e+45 1.061
0.1 1.16345908438818e+45 1.061
0.1 1.32836207694079e+45 1.062
0.1 1.51663761204147e+45 1.062
0.1 1.73159839940343e+45 1.062
0.1 1.97702667599047e+45 1.063
0.1 2.25724075451014e+45 1.063
0.1 2.57717100416405e+45 1.065
0.1 2.9424466005379e+45 1.065
0.1 3.35949457099589e+45 1.067
0.1 3.83565287828418e+45 1.067
0.1 4.37929953205086e+45 1.067
0.1 5e+45 1.068
0.15 1e+40 0.3023
0.15 1.14173510247619e+40 0.3023
0.15 1.30355904422631e+40 0.3023
0.15 1.4883191189435e+40 0.3273
0.15 1.69926618178422e+40 0.3273
0.15 1.94011184819373e+40 0.3394
0.15 2.21509379981273e+40 0.3394
0.15 2.52905034652355e+40 0.3997
0.15 2.88750555655553e+40 0.3997
0.15 3.29676645251449e+40 0.4373
0.15 3.76403398350168e+40 0.4373
0.15 4.29752972587713e+40 0.4373
0.15 4.90664054196878e+40 0.5218
0.15 5.60208374199861e+40 0.5218
0.15 6.39609565525095e+40 0.5898
0.15 7.30264692839543e+40 0.5898
0.15 8.33768833913895e+40 0.671
0.15 9.51943145030131e+40 0.671
0.15 1.08686690424248e+41 0.671
0.15 1.24091409629328e+41 0.7412
0.15 1.41679518289555e+41 0.7412
0.15 1.61760479333101e+41 0.7948
0.15 1.84687617447975e+41 0.7948
0.15 2.10864335833047e+41 0.8407
0.15 2.4075121408092e+41 0.8407
0.15 2.74874112079945e+41 0.8695
0.15 3.13833422523646e+41 0.8695
0.15 3.58314634825487e+41 0.8695
0.15 4.09100396311194e+41 0.8958
0.15 4.67084282905416e+41 0.8958
0.15 5.33286521608031e+41 0.9106
0.15 6.08871941397313e+41 0.9106
0.15 6.95170468406135e+41 0.9256
0.15 7.93700525984097e+41 0.9256
0.15 9.06195751369867e+41 0.9256
0.15 1.03463549905376e+42 0.9343
0.15 1.18127966753764e+42 0.9343
0.15 1.34870846226912e+42 0.9441
0.15 1.53986779437934e+42 0.9441
0.15 1.75812111401549e+42 0.9511
0.15 2.00730859027603e+42 0.9511
0.15 2.29181467902013e+42 0.9511
0.15 2.61664526740747e+42 0.9594
0.15 2.98751575252729e+42 0.9594
0.15 3.41095160386101e+42 0.9673
0.15 3.89440317897556e+42 0.9673
0.15 4.44637681263124e+42 0.9768
0.15 5.07658448581727e+42 0.9768
0.15 5.79611470814359e+42 0.9859
0.15 6.61762762026614e+42 0.9859
0.15 7.55557774917379e+42 0.9859
0.15 8.62646833571973e+42 0.9963
0.15 9.84914170929053e+42 0.9963
0.15 1.12451108187593e+43 1.005
0.15 1.28389377530122e+43 1.005
0.15 1.4658665911121e+43 1.014
0.15 1.67363134261978e+43 1.014
0.15 1.91084365247335e+43 1.014
0.15 2.18167727337263e+43 1.021
0.15 2.49089752528407e+43 1.021
0.15 2.84394514128792e+43 1.029
0.15 3.24703199732501e+43 1.029
0.15 3.70725041020933e+43 1.036
0.15 4.23269792700523e+43 1.036
0.15 4.83261980144005e+43 1.043
0.15 5.5175716642256e+43 1.043
0.15 6.2996052494744e+43 1.043
0.15 7.19248044506816e+43 1.045
0.15 8.21190739800786e+43 1.045
0.15 9.37582293458945e+43 1.051
0.15 1.0704706159022e+44 1.051
0.15 1.22219387834487e+44 1.056
0.15 1.39542165293784e+44 1.056
0.15 1.59320188391447e+44 1.056
0.15 1.81901451619634e+44 1.061
0.15 2.0768327250551e+44 1.061
0.15 2.37119282416671e+44 1.065
0.15 2.70727408209078e+44 1.065
0.15 3.09098985154704e+44 1.07
0.15 3.5290916149089e+44 1.07
0.15 4.02928777659586e+44 1.074
0.15 4.60037929251778e+44 1.074
0.15 5.25241452297211e+44 1.074
0.15 5.99686603363297e+44 1.079
0.15 6.84683245544589e+44 1.079
0.15 7.81726895515578e+44 1.082
0.15 8.92525037159882e+44 1.082
0.15 1.0190271647643e+45 1.086
0.15 1.16345908438818e+45 1.086
0.15 1.32836207694079e+45 1.086
0.15 1.51663761204147e+45 1.087
0.15 1.73159839940343e+45 1.087
0.15 1.97702667599047e+45 1.089
0.15 2.25724075451014e+45 1.089
0.15 2.57717100416405e+45 1.092
0.15 2.9424466005379e+45 1.092
0.15 3.35949457099589e+45 1.092
0.15 3.83565287828418e+45 1.094
0.15 4.37929953205086e+45 1.094
0.15 5e+45 1.096
0.2 1e+40 0.2825
0.2 1.14173510247619e+40 0.2825
0.2 1.30355904422631e+40 0.2825
0.2 1.4883191189435e+40 0.311
0.2 1.69926618178422e+40 0.311
0.2 1.94011184819373e+40 0.3214
0.2 2.21509379981273e+40 0.3214
0.2 2.52905034652355e+40 0.3953
0.2 2.88750555655553e+40 0.3953
0.2 3.29676645251449e+40 0.3953
0.2 3.76403398350168e+40 0.4326
0.2 4.29752972587713e+40 0.4326
0.2 4.90664054196878e+40 0.5215
0.2 5.60208374199861e+40 0.5215
0.2 6.39609565525095e+40 0.5858
0.2 7.30264692839543e+40 0.5858
0.2 8.33768833913895e+40 0.6654
0.2 9.51943145030131e+40 0.6654
0.2 1.08686690424248e+41 0.6654
0.2 1.24091409629328e+41 0.7313
0.2 1.41679518289555e+41 0.7313
0.2 1.61760479333101e+41 0.7812
0.2 1.84687617447975e+41 0.7812
0.2 2.10864335833047e+41 0.8241
0.2 2.4075121408092e+41 0.8241
0.2 2.74874112079945e+41 0.8241
0.2 3.13833422523646e+41 0.8503
0.2 3.58314634825487e+41 0.8503
0.2 4.09100396311194e+41 0.8741
0.2 4.67084282905416e+41 0.8741
0.2 5.33286521608031e+41 0.8887
0.2 6.08871941397313e+41 0.8887
0.2 6.95170468406135e+41 0.8887
0.2 7.93700525984097e+41 0.9033
0.2 9.06195751369867e+41 0.9033
0.2 1.03463549905376e+42 0.9133
0.2 1.18127966753764e+42 0.9133
0.2 1.34870846226912e+42 0.9244
0.2 1.53986779437934e+42 0.9244
0.2 1.75812111401549e+42 0.9321
0.2 2.00730859027603e+42 0.9321
0.2 2.29181467902013e+42 0.9321
0.2 2.61664526740747e+42 0.9412
0.2 2.98751575252729e+42 0.9412
0.2 3.41095160386101e+42 0.9499
0.2 3.89440317897556e+42 0.9499
0.2 4.44637681263124e+42 0.9603
0.2 5.07658448581727e+42 0.9603
0.2 5.79611470814359e+42 0.9603
0.2 6.61762762026614e+42 0.9714
0.2 7.55557774917379e+42 0.9714
0.2 8.62646833571973e+42 0.9839
0.2 9.84914170929053e+42 0.9839
0.2 1.12451108187593e+43 0.995
0.2 1.28389377530122e+43 0.995
0.2 1.4658665911121e+43 1.007
0.2 1.67363134261978e+43 1.007
0.2 1.91084365247335e+43 1.007
0.2 2.18167727337263e+43 1.018
0.2 2.49089752528407e+43 1.018
0.2 2.84394514128792e+43 1.029
0.2 3.24703199732501e+43 1.029
0.2 3.70725041020933e+43 1.038
0.2 4.23269792700523e+43 1.038
0.2 4.83261980144005e+43 1.038
0.2 5.5175716642256e+43 1.048
0.2 6.2996052494744e+43 1.048
0.2 7.19248044506816e+43 1.056
0.2 8.21190739800786e+43 1.056
0.2 9.37582293458945e+43 1.065
0.2 1.0704706159022e+44 1.065
0.2 1.22219387834487e+44 1.065
0.2 1.39542165293784e+44 1.072
0.2 1.59320188391447e+44 1.072
0.2 1.81901451619634e+44 1.08
0.2 2.0768327250551e+44 1.08
0.2 2.37119282416671e+44 1.085
0.2 2.70727408209078e+44 1.085
0.2 3.09098985154704e+44 1.092
0.2 3.5290916149089e+44 1.092
0.2 4.02928777659586e+44 1.092
0.2 4.60037929251778e+44 1.097
0.2 5.25241452297211e+44 1.097
0.2 5.99686603363297e+44 1.103
0.2 6.84683245544589e+44 1.103
0.2 7.81726895515578e+44 1.107
0.2 8.92525037159882e+44 1.107
0.2 1.0190271647643e+45 1.107
0.2 1.16345908438818e+45 1.112
0.2 1.32836207694079e+45 1.112
0.2 1.51663761204147e+45 1.115
0.2 1.73159839940343e+45 1.115
0.2 1.97702667599047e+45 1.119
0.2 2.25724075451014e+45 1.119
0.2 2.57717100416405e+45 1.122
0.2 2.9424466005379e+45 1.122
0.2 3.35949457099589e+45 1.122
0.2 3.83565287828418e+45 1.125
0.2 4.37929953205086e+45 1.125
0.2 5e+45 1.128
0.25 1e+40 0.2128
0.25 1.14173510247619e+40 0.2157
0.25 1.30355904422631e+40 0.2157
0.25 1.4883191189435e+40 0.231
0.25 1.69926618178422e+40 0.231
0.25 1.94011184819373e+40 0.2364
0.25 2.21509379981273e+40 0.2364
0.25 2.52905034652355e+40 0.2364
0.25 2.88750555655553e+40 0.2828
0.25 3.29676645251449e+40 0.2828
0.25 3.76403398350168e+40 0.3062
0.25 4.29752972587713e+40 0.3062
0.25 4.90664054196878e+40 0.37
0.25 5.60208374199861e+40 0.37
0.25 6.39609565525095e+40 0.4161
0.25 7.30264692839543e+40 0.4161
0.25 8.33768833913895e+40 0.4161
0.25 9.51943145030131e+40 0.4774
0.25 1.08686690424248e+41 0.4774
0.25 1.24091409629328e+41 0.5281
0.25 1.41679518289555e+41 0.5281
0.25 1.61760479333101e+41 0.5749
0.25 1.84687617447975e+41 0.5749
0.25 2.10864335833047e+41 0.5749
0.25 2.4075121408092e+41 0.6146
0.25 2.74874112079945e+41 0.6146
0.25 3.13833422523646e+41 0.6565
0.25 3.58314634825487e+41 0.6565
0.25 4.09100396311194e+41 0.6946
0.25 4.67084282905416e+41 0.6946
0.25 5.33286521608031e+41 0.7435
0.25 6.08871941397313e+41 0.7435
0.25 6.95170468406135e+41 0.7435
0.25 7.93700525984097e+41 0.7925
0.25 9.06195751369867e+41 0.7925
0.25 1.03463549905376e+42 0.8309
0.25 1.18127966753764e+42 0.8309
0.25 1.34870846226912e+42 0.8736
0.25 1.53986779437934e+42 0.8736
0.25 1.75812111401549e+42 0.8736
0.25 2.00730859027603e+42 0.8908
0.25 2.29181467902013e+42 0.8908
0.25 2.61664526740747e+42 0.9113
0.25 2.98751575252729e+42 0.9113
0.25 3.41095160386101e+42 0.9224
0.25 3.89440317897556e+42 0.9224
0.25 4.44637681263124e+42 0.9356
0.25 5.07658448581727e+42 0.9356
0.25 5.79611470814359e+42 0.9356
0.25 6.61762762026614e+42 0.9499
0.25 7.55557774917379e+42 0.9499
0.25 8.62646833571973e+42 0.966
0.25 9.84914170929053e+42 0.966
0.25 1.12451108187593e+43 0.9811
0.25 1.28389377530122e+43 0.9811
