log10_Lx_erg_s^-1,p_I_given_Lx
42.53846154,0.007163324
42.54985755,0.007163324
42.56125356,0.007163324
42.57264957,0.007163324
42.58404558,0.007163324
42.5954416,0.008595989
42.60683761,0.008595989
42.61823362,0.008595989
42.62962963,0.010028653
42.64102564,0.010028653
42.65242165,0.010028653
42.66381766,0.010028653
42.67521368,0.011461318
42.68660969,0.011461318
42.6980057,0.012893983
42.70940171,0.012893983
42.72079772,0.012893983
42.73219373,0.014326648
42.74358974,0.015759312
42.75498575,0.015759312
42.76638177,0.017191977
42.77777778,0.018624642
42.78917379,0.018624642
42.8005698,0.021489971
42.81196581,0.021489971
42.82336182,0.021489971
42.83475783,0.024355301
42.84615385,0.025787966
42.85754986,0.02722063
42.86894587,0.028653295
42.88034188,0.031518625
42.89173789,0.032951289
42.9031339,0.034383954
42.91452991,0.037249284
42.92592593,0.040114613
42.93732194,0.042979943
42.94871795,0.045845272
42.96011396,0.048710602
42.97150997,0.051575931
42.98290598,0.054441261
42.99430199,0.058739255
43.00569801,0.061604585
43.01709402,0.065902579
43.02849003,0.068767908
43.03988604,0.074498567
43.05128205,0.077363897
43.06267806,0.083094556
43.07407407,0.08739255
43.08547009,0.093123209
43.0968661,0.098853868
43.10826211,0.104584527
43.11965812,0.111747851
43.13105413,0.11747851
43.14245014,0.124641834
43.15384615,0.130372493
43.16524217,0.137535817
43.17663818,0.146131805
43.18803419,0.153295129
43.1994302,0.161891117
43.21082621,0.170487106
43.22222222,0.179083095
43.23361823,0.189111748
43.24501425,0.197707736
43.25641026,0.20773639
43.26780627,0.217765043
43.27920228,0.227793696
43.29059829,0.23782235
43.3019943,0.249283668
43.31339031,0.260744986
43.32478632,0.272206304
43.33618234,0.283667622
43.34757835,0.296561605
43.35897436,0.309455587
43.37037037,0.32234957
43.38176638,0.333810888
43.39316239,0.348137536
43.4045584,0.361031519
43.41595442,0.375358166
43.42735043,0.389684814
43.43874644,0.402578797
43.45014245,0.416905444
43.46153846,0.431232092
43.47293447,0.445558739
43.48433048,0.459885387
43.4957265,0.474212034
43.50712251,0.488538682
43.51851852,0.50286533
43.52991453,0.518624642
43.54131054,0.534383954
43.55270655,0.548710602
43.56410256,0.563037249
43.57549858,0.577363897
43.58689459,0.591690544
43.5982906,0.606017192
43.60968661,0.62034384
43.62108262,0.634670487
43.63247863,0.648997135
43.64387464,0.663323782
43.65527066,0.676217765
43.66666667,0.689111748
43.67806268,0.703438395
43.68945869,0.716332378
43.7008547,0.729226361
43.71225071,0.742120344
43.72364672,0.753581662
43.73504274,0.766475645
43.74643875,0.776504298
43.75783476,0.787965616
43.76923077,0.799426934
